season,treatment,cage,ID,date_init,date_final,expt_length,len_init_cm,len_init_mm,Buoy_WT_init_g,init_dry_wt_calc_len_cubed_g,initial_dry_wt_calc_buoy_wt_g,len_final_cm,len_final_mm,final_height_cm,final_width_cm,Buoy_WT_final,thread_count,final_gonad_wt_dry_g,final_somatic_wt_dry_g,final_total_wt_dry_g,final_total_wt_wet_g,final_shell_wt_g,growth_len_cm,growth_WT_len_cubed_g,growth_buoy_wt_g,notes,
Spring,daily,1,21,25-Apr,24-May,29,2.47,24.7,0.404,0.095,0.099384,2.73,27.3,,,0.537,199,0.025,0.107,0.132,1.3,0.844,0.26,0.036940358,0.133,,
Spring,daily,1,24,25-Apr,24-May,29,2.39,23.9,0.421,0.119,0.103566,2.49,24.9,,,0.471,254,0.028,0.104,0.132,0.5,0.751,0.1,0.01250431,0.05,,
Spring,daily,1,29,25-Apr,24-May,29,2.49,24.9,0.404,0.1,0.099384,2.76,27.6,,,0.517,191,0.033,0.106,0.139,1.35,0.82,0.27,0.039104289,0.113,,
Spring,daily,1,37,25-Apr,24-May,29,2.33,23.3,0.333,0.092,0.081918,2.64,26.4,,,0.463,127,0.024,0.108,0.132,1.55,0.744,0.31,0.040252849,0.13,,
Spring,daily,1,90,25-Apr,24-May,29,2.82,28.2,0.498,0.14,0.122508,2.88,28.8,,,0.624,212,0.033,0.117,0.15,0.3,0.976,0.06,0.010234728,0.126,,
Spring,daily,2,11,25-Apr,24-May,29,,,,,,,,,,,,,,,,,,,,Dead on May 9.,
Spring,daily,2,31,25-Apr,24-May,29,,,,,,,,,,,,,,,,,,,,Lost from field enclosure on May 24. ,
Spring,daily,2,40,25-Apr,24-May,29,2.55,25.5,0.432,0.098,0.106272,2.74,27.4,,,0.52,381,0.027,0.099,0.126,0.95,0.838,0.19,0.027926143,0.088,,
Spring,daily,2,43,25-Apr,24-May,29,2.54,25.4,0.505,0.12,0.12423,2.78,27.8,,,0.662,366,0.031,0.125,0.156,1.2,1.034,0.24,0.035685216,0.157,,
Spring,daily,2,45,25-Apr,24-May,29,2.67,26.7,0.57,0.129,0.14022,2.74,27.4,,,0.602,289,0.026,0.114,0.14,0.35,0.97,0.07,0.010756627,0.032,,
