season,ID,treat,thread_num,mass,cost_gonad,cost_somatic,cost_byssus,growth,intake,intake_prop,cost_prop,
Autumn,1,daily,17.06896552,120,1.773722628,7.946277372,17.38144008,9.367076556,36.46851664,0.476614946,0.686261607,
Autumn,11,daily,20.96551724,125,1.752403846,8.372596154,21.34932439,6.036011056,37.51033544,0.56915845,0.718302317,
Autumn,24,daily,8.862068966,67,0.279742268,5.147257732,9.024303235,9.942226819,24.39353005,0.369946589,0.636789642,
Autumn,32,daily,12.34482759,173,2.219881188,11.79311881,12.57081929,20.35529063,46.93910992,0.267811199,0.515960073,
Autumn,45,daily,10.4137931,162,1.766423077,11.35557692,10.60443415,21.13244303,44.85887718,0.236395443,0.482897487,
Autumn,5,daily,17.20689655,109,1.154561538,7.674438462,17.52189617,7.776827572,34.12772374,0.513421179,0.695414489,
Autumn,25,daily,17.44827586,72,0.5184,5.3136,17.76769431,2.035845185,25.63553949,0.693088371,0.769787607,
Autumn,28,daily,13.27586207,150,2.705672269,9.444327731,13.51889784,16.86997789,42.53887573,0.317801014,0.588719464,
Autumn,40,daily,16.03448276,128,2.837014925,7.530985075,16.32801947,11.43320025,38.12921973,0.428228524,0.684354598,
Autumn,41,daily,17.65517241,87,0.409709302,6.637290698,17.97837843,4.18595105,29.21132948,0.615459096,0.730363182,
Autumn,10,daily,18.31034483,76,0.513,5.643,18.64554482,1.808427185,26.609972,0.700697649,0.767668255,
Autumn,13,daily,15.37931034,133,2.415763636,8.357236364,15.66085309,12.71694966,39.15080274,0.400013588,0.652044082,
Autumn,27,daily,18.5862069,169,1.987112903,11.7018871,18.92645698,13.57208656,46.18754354,0.409774054,0.617939283,
Autumn,29,daily,18.10344828,117,1.51632,7.96068,18.4348607,7.925109339,35.83697003,0.514409022,0.698408148,
Autumn,44,daily,17.89655172,94,0.722017241,6.891982759,18.22417657,4.975339517,30.81351609,0.591434503,0.725595675,
Autumn,2,weekly,6.413793103,177,3.003942857,11.33305714,6.531207789,26.81710028,47.68530807,0.136964781,0.365601821,
Autumn,4,weekly,5.896551724,200,3.933333333,12.26666667,6.004497484,29.67475812,51.87925561,0.115739854,0.328632452,
Autumn,15,weekly,9.275862069,196,4.356947368,11.51905263,9.44567148,25.83941139,51.16108287,0.184626105,0.450550717,
Autumn,26,weekly,9.965517241,172,2.6703,11.2617,10.14795189,22.67177609,46.75172797,0.217060467,0.473989579,
Autumn,43,weekly,6.034482759,76,0.513,5.643,6.144953565,14.30901844,26.609972,0.23092672,0.521290954,
