column heading,description
season,Autumn or Spring
ID,Mussel identification number
treat,"Daily, Weekly, or Never treatment manpulation"
thread_num,Number of threads counted
mass,Total tissue weight (g dry weight or DW)
cost_gonad,"Model output, Rate J per day cost of gonad"
cost_somatic,"Model output, Rate J per day cost of somatic tissue"
cost_byssus,"Model output, Rate J per day cost of byssal thread production"
growth,"Model output, Rate J per day to tissue growth"
intake,"Model output, Rate J per day energy intake"
intake_prop,Proportion of intake to byssal thread production (unitless)
cost_prop,Proportion of non-reproductive costs to byssal thread production (unitless)
